캠핑장명,키워드,선택인원
구미캠핑장,"""깨끗해요""",195
구미캠핑장,"""화장실이 잘 되어있어요""",161
구미캠핑장,"""주차하기 편해요""",133
구미캠핑장,"""공용시설 관리가 잘돼요""",110
구미캠핑장,"""개수대가 잘 되어있어요""",104
구미캠핑장,"""온수가 잘 나와요""",84
구미캠핑장,"""조용히 쉬기 좋아요""",78
구미캠핑장,"""뷰가 좋아요""",69
구미캠핑장,"""바비큐 해먹기 좋아요 """,63
구미캠핑장,"""사이트 간격이 넓어요""",54
구미캠핑장,"""사진이 잘 나와요""",28
구미캠핑장,"""그늘이 많아요""",23
구미캠핑장,"""매너타임이 잘 지켜져요""",18
구미캠핑장,"""벌레 걱정 없어요""",10
구미캠핑장,"""물놀이하기 좋아요""",3
구미캠핑장,"""전기 사용이 편해요""",1
구미캠핑장,"""친절해요""",1
삼강나루캠핑장,"""깨끗해요""",14
삼강나루캠핑장,"""뷰가 좋아요""",12
삼강나루캠핑장,"""조용히 쉬기 좋아요""",10
삼강나루캠핑장,"""화장실이 잘 되어있어요""",7
삼강나루캠핑장,"""주차하기 편해요""",6
삼강나루캠핑장,"""바비큐 해먹기 좋아요 """,5
삼강나루캠핑장,"""사진이 잘 나와요""",5
삼강나루캠핑장,"""온수가 잘 나와요""",5
삼강나루캠핑장,"""공용시설 관리가 잘돼요""",4
삼강나루캠핑장,"""사이트 간격이 넓어요""",4
삼강나루캠핑장,"""매너타임이 잘 지켜져요""",3
삼강나루캠핑장,"""개수대가 잘 되어있어요""",3
삼강나루캠핑장,"""아이와 가기 좋아요""",1
삼강나루캠핑장,"""근처에 갈 곳이 많아요""",1
삼강나루캠핑장,"""그늘이 많아요""",1
청평사 국민여가 캠핑장,"""깨끗해요""",40
청평사 국민여가 캠핑장,"""화장실이 잘 되어있어요""",33
청평사 국민여가 캠핑장,"""온수가 잘 나와요""",23
청평사 국민여가 캠핑장,"""개수대가 잘 되어있어요""",22
청평사 국민여가 캠핑장,"""주차하기 편해요""",16
청평사 국민여가 캠핑장,"""조용히 쉬기 좋아요""",15
청평사 국민여가 캠핑장,"""공용시설 관리가 잘돼요""",13
청평사 국민여가 캠핑장,"""뷰가 좋아요""",7
청평사 국민여가 캠핑장,"""매너타임이 잘 지켜져요""",6
청평사 국민여가 캠핑장,"""사진이 잘 나와요""",5
청평사 국민여가 캠핑장,"""그늘이 많아요""",4
청평사 국민여가 캠핑장,"""바비큐 해먹기 좋아요 """,3
청평사 국민여가 캠핑장,"""물놀이하기 좋아요""",3
청평사 국민여가 캠핑장,"""벌레 걱정 없어요""",2
청평사 국민여가 캠핑장,"""사이트 간격이 넓어요""",2
미산가족오토캠핑장,"""뷰가 좋아요""",212
미산가족오토캠핑장,"""온수가 잘 나와요""",200
미산가족오토캠핑장,"""깨끗해요""",176
미산가족오토캠핑장,"""개수대가 잘 되어있어요""",146
미산가족오토캠핑장,"""조용히 쉬기 좋아요""",124
미산가족오토캠핑장,"""화장실이 잘 되어있어요""",123
미산가족오토캠핑장,"""그늘이 많아요""",121
미산가족오토캠핑장,"""매너타임이 잘 지켜져요""",118
미산가족오토캠핑장,"""주차하기 편해요""",112
미산가족오토캠핑장,"""공용시설 관리가 잘돼요""",74
미산가족오토캠핑장,"""물놀이하기 좋아요""",61
미산가족오토캠핑장,"""사이트 간격이 넓어요""",47
미산가족오토캠핑장,"""바비큐 해먹기 좋아요 """,45
미산가족오토캠핑장,"""사진이 잘 나와요""",45
미산가족오토캠핑장,"""친절해요""",19
미산가족오토캠핑장,"""벌레 걱정 없어요""",18
미산가족오토캠핑장,"""전기 사용이 편해요""",15
미산가족오토캠핑장,"""냉난방이 잘돼요""",3
미산가족오토캠핑장,"""아이와 가기 좋아요""",1
미산가족오토캠핑장,"""근처에 갈 곳이 많아요""",1
미산가족오토캠핑장,"""가성비가 좋아요""",1
휴림,"""조용히 쉬기 좋아요""",118
휴림,"""깨끗해요""",82
휴림,"""온수가 잘 나와요""",77
휴림,"""주차하기 편해요""",75
휴림,"""뷰가 좋아요""",72
휴림,"""바비큐 해먹기 좋아요 """,61
휴림,"""그늘이 많아요""",61
휴림,"""화장실이 잘 되어있어요""",50
휴림,"""개수대가 잘 되어있어요""",49
휴림,"""사진이 잘 나와요""",31
휴림,"""친절해요""",29
휴림,"""공용시설 관리가 잘돼요""",28
휴림,"""전기 사용이 편해요""",16
휴림,"""아이와 가기 좋아요""",16
휴림,"""사이트 간격이 넓어요""",16
휴림,"""냉난방이 잘돼요""",15
휴림,"""조용히 쉬기 좋아요""",10
휴림,"""편의시설이 잘 되어있어요""",9
휴림,"""가성비가 좋아요""",9
휴림,"""침구가 좋아요""",8
휴림,"""매너타임이 잘 지켜져요""",6
휴림,"""가격이 합리적이에요""",6
휴림,"""파티하기 좋아요""",4
휴림,"""산책로가 잘 되어있어요""",4
휴림,"""벌레 걱정 없어요""",3
휴림,"""인테리어가 멋져요""",2
휴림,"""컨셉이 독특해요""",1
휴림,"""취사시설이 잘 되어있어요""",1
휴림,"""마트 이용이 편해요""",1
휴림,"""근처에 갈 곳이 많아요""",1
휴림,"""반려동물과 가기 좋아요""",1
영덕 오션뷰 카라반 캠핑장,"""깨끗해요""",152
영덕 오션뷰 카라반 캠핑장,"""뷰가 좋아요""",150
영덕 오션뷰 카라반 캠핑장,"""온수가 잘 나와요""",82
영덕 오션뷰 카라반 캠핑장,"""화장실이 잘 되어있어요""",75
영덕 오션뷰 카라반 캠핑장,"""조용히 쉬기 좋아요""",56
영덕 오션뷰 카라반 캠핑장,"""주차하기 편해요""",37
영덕 오션뷰 카라반 캠핑장,"""친절해요""",35
영덕 오션뷰 카라반 캠핑장,"""사진이 잘 나와요""",35
영덕 오션뷰 카라반 캠핑장,"""개수대가 잘 되어있어요""",31
영덕 오션뷰 카라반 캠핑장,"""공용시설 관리가 잘돼요""",23
영덕 오션뷰 카라반 캠핑장,"""냉난방이 잘돼요""",20
영덕 오션뷰 카라반 캠핑장,"""바비큐 해먹기 좋아요 """,15
영덕 오션뷰 카라반 캠핑장,"""물놀이하기 좋아요""",13
영덕 오션뷰 카라반 캠핑장,"""침구가 좋아요""",8
영덕 오션뷰 카라반 캠핑장,"""매너타임이 잘 지켜져요""",8
영덕 오션뷰 카라반 캠핑장,"""사이트 간격이 넓어요""",8
영덕 오션뷰 카라반 캠핑장,"""벌레 걱정 없어요""",5
영덕 오션뷰 카라반 캠핑장,"""전기 사용이 편해요""",4
영덕 오션뷰 카라반 캠핑장,"""인테리어가 멋져요""",4
영덕 오션뷰 카라반 캠핑장,"""아이와 가기 좋아요""",3
영덕 오션뷰 카라반 캠핑장,"""근처에 갈 곳이 많아요""",3
영덕 오션뷰 카라반 캠핑장,"""반려동물과 가기 좋아요""",3
영덕 오션뷰 카라반 캠핑장,"""컨셉이 독특해요""",1
영덕 오션뷰 카라반 캠핑장,"""편의시설이 잘 되어있어요""",1
영덕 오션뷰 카라반 캠핑장,"""가성비가 좋아요""",1
영덕 오션뷰 카라반 캠핑장,"""비싼 만큼 가치있어요""",1
영덕 오션뷰 카라반 캠핑장,"""그늘이 많아요""",1
라온,"""동물을 배려한 환경이에요""",61
라온,"""시설이 깔끔해요""",48
라온,"""공간이 넓어요""",48
라온,"""주차하기 편해요""",43
라온,"""야외공간이 멋져요""",23
라온,"""가격이 합리적이에요""",18
라온,"""사진이 잘 나와요""",17
라온,"""친절해요""",16
라온,"""인테리어가 멋져요""",7
라온,"""가성비가 좋아요""",6
라온,"""화장실이 깨끗해요""",5
라온,"""뷰가 좋아요""",5
라온,"""매장이 청결해요""",3
라온,"""집중하기 좋아요""",3
라온,"""커피가 맛있어요""",2
라온,"""디저트가 맛있어요""",2
